,CohortMonth,CohortIndex,bp_id
662,2020-02-01,13,2
663,2020-02-01,14,2
664,2020-02-01,15,1
665,2020-02-01,16,1
666,2020-02-01,17,1
667,2020-02-01,19,1
668,2020-02-01,20,1
669,2020-02-01,21,1
670,2020-02-01,22,1
671,2020-02-01,23,1
672,2020-02-01,24,1
673,2020-02-01,25,1
674,2020-02-01,26,1
675,2020-02-01,27,1
676,2020-02-01,28,1
677,2020-02-01,29,1
678,2020-02-01,30,1
679,2020-02-01,31,1
680,2020-02-01,33,1
681,2020-02-01,35,1
682,2020-02-01,37,1
683,2020-02-01,38,1
684,2020-02-01,39,1
685,2020-02-01,40,1
686,2020-02-01,44,1
687,2020-02-01,45,1
688,2020-02-01,46,1
689,2020-02-01,47,1
690,2020-02-01,48,1
691,2020-02-01,50,1
692,2020-02-01,51,1
693,2020-02-01,54,1
694,2020-02-01,55,1
695,2020-02-01,56,1
696,2020-03-01,1,7
697,2020-03-01,2,4
698,2020-03-01,3,4
699,2020-03-01,4,4
700,2020-03-01,5,4
701,2020-03-01,6,3
702,2020-03-01,7,1
703,2020-03-01,8,1
704,2020-03-01,11,1
705,2020-03-01,12,1
706,2020-03-01,13,2
707,2020-03-01,14,3
708,2020-03-01,15,4
709,2020-03-01,16,3
710,2020-03-01,17,2
711,2020-03-01,18,1
712,2020-03-01,19,1
713,2020-03-01,20,1
714,2020-03-01,21,1
715,2020-03-01,23,1
716,2020-03-01,24,2
717,2020-03-01,25,3
718,2020-03-01,26,3
719,2020-03-01,27,2
720,2020-03-01,28,2
721,2020-03-01,29,2
722,2020-03-01,30,2
723,2020-03-01,31,1
724,2020-03-01,36,1
725,2020-03-01,37,2
726,2020-03-01,38,4
727,2020-03-01,39,4
728,2020-03-01,40,3
729,2020-03-01,41,2
730,2020-03-01,42,2
731,2020-03-01,43,1
732,2020-03-01,45,1
733,2020-03-01,47,1
734,2020-03-01,48,2
735,2020-03-01,49,1
736,2020-03-01,50,1
737,2020-03-01,51,2
738,2020-03-01,52,1
739,2020-03-01,53,2
740,2020-03-01,54,2
741,2020-03-01,55,2
742,2020-04-01,1,3
743,2020-04-01,2,2
744,2020-04-01,3,2
745,2020-04-01,4,3
746,2020-04-01,5,2
747,2020-04-01,6,2
748,2020-04-01,7,2
749,2020-04-01,8,2
750,2020-04-01,9,2
751,2020-04-01,10,2
752,2020-04-01,11,2
753,2020-04-01,12,2
754,2020-04-01,13,3
755,2020-04-01,14,1
756,2020-04-01,15,1
757,2020-04-01,16,2
758,2020-04-01,17,1
759,2020-04-01,18,1
760,2020-04-01,19,1
761,2020-04-01,20,2
762,2020-04-01,21,1
763,2020-04-01,22,1
764,2020-04-01,23,2
765,2020-04-01,24,1
766,2020-04-01,25,2
767,2020-04-01,26,2
768,2020-04-01,27,3
769,2020-04-01,28,2
770,2020-04-01,29,2
771,2020-04-01,30,1
772,2020-04-01,31,2
773,2020-04-01,32,1
774,2020-04-01,33,1
775,2020-04-01,34,1
776,2020-04-01,35,1
777,2020-04-01,36,1
778,2020-04-01,37,2
779,2020-04-01,38,1
780,2020-04-01,39,1
781,2020-04-01,40,1
782,2020-04-01,41,1
783,2020-04-01,42,2
784,2020-04-01,43,2
785,2020-04-01,44,1
786,2020-04-01,45,1
787,2020-04-01,46,2
788,2020-04-01,47,1
789,2020-04-01,48,1
790,2020-04-01,49,1
791,2020-04-01,50,1
792,2020-04-01,51,1
793,2020-04-01,52,1
794,2020-04-01,53,1
795,2020-04-01,54,1
796,2020-05-01,1,5
797,2020-05-01,2,3
798,2020-05-01,3,1
799,2020-05-01,4,2
800,2020-05-01,5,1
801,2020-05-01,6,1
802,2020-05-01,7,2
803,2020-05-01,8,2
804,2020-05-01,9,1
805,2020-05-01,10,2
806,2020-05-01,12,1
807,2020-05-01,13,1
808,2020-05-01,15,1
809,2020-05-01,16,1
810,2020-05-01,17,1
811,2020-05-01,19,1
812,2020-05-01,20,1
813,2020-05-01,21,1
814,2020-05-01,22,2
815,2020-05-01,23,3
816,2020-05-01,24,1
817,2020-05-01,25,1
818,2020-05-01,26,1
819,2020-05-01,27,1
820,2020-05-01,28,1
821,2020-05-01,29,1
822,2020-05-01,30,1
823,2020-05-01,31,1
824,2020-05-01,32,1
825,2020-05-01,33,1
826,2020-05-01,34,1
827,2020-05-01,35,3
828,2020-05-01,36,1
829,2020-05-01,37,1
830,2020-05-01,38,1
831,2020-05-01,39,2
832,2020-05-01,40,2
833,2020-05-01,41,1
834,2020-05-01,43,1
835,2020-05-01,44,1
836,2020-05-01,45,1
837,2020-05-01,46,2
838,2020-05-01,47,1
839,2020-05-01,48,2
840,2020-05-01,49,1
841,2020-05-01,50,1
842,2020-05-01,51,1
843,2020-05-01,52,1
844,2020-05-01,53,2
845,2020-06-01,1,8
846,2020-06-01,2,3
847,2020-06-01,3,4
848,2020-06-01,4,1
849,2020-06-01,5,1
850,2020-06-01,9,1
851,2020-06-01,10,1
852,2020-06-01,11,3
853,2020-06-01,12,4
854,2020-06-01,13,2
855,2020-06-01,14,3
856,2020-06-01,15,4
857,2020-06-01,16,1
858,2020-06-01,18,1
859,2020-06-01,21,1
860,2020-06-01,23,1
861,2020-06-01,25,1
862,2020-06-01,26,2
863,2020-06-01,27,2
864,2020-06-01,28,1
865,2020-06-01,35,1
866,2020-06-01,36,2
867,2020-06-01,37,2
868,2020-06-01,38,1
869,2020-06-01,39,2
870,2020-06-01,40,2
871,2020-06-01,41,2
